,Year,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Postseason
737,2024,New York Mets,59,30.0,4.74,162,6166,5510,768,1357,279,15,207,735,106,22,514,1382,.246,.319,.415,.734,108,2287,105,92,10,36,11,1110,True
738,2024,New York Yankees,54,28.0,5.03,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,.248,.333,.429,.761,115,2336,138,49,14,57,26,1141,True
739,2024,Oakland Athletics,55,26.5,3.97,162,6034,5432,643,1267,240,19,196,619,98,26,493,1502,.233,.301,.393,.694,101,2133,105,53,19,37,11,1073,False
740,2024,Philadelphia Phillies,47,29.1,4.84,162,6166,5534,784,1423,285,24,198,750,148,30,515,1370,.257,.325,.425,.750,109,2350,107,62,13,40,21,1115,True
741,2024,Pittsburgh Pirates,56,28.5,4.10,162,6086,5477,665,1283,236,17,160,643,106,19,485,1506,.234,.301,.371,.672,87,2033,100,60,16,47,14,1112,False
742,2024,San Diego Padres,49,29.0,4.69,162,6103,5526,760,1456,259,18,190,726,120,28,458,1077,.263,.324,.420,.745,107,2321,133,56,28,31,18,1068,True
743,2024,Seattle Mariners,50,28.9,4.17,162,6067,5330,676,1195,228,13,185,642,140,28,571,1625,.224,.311,.376,.687,103,2004,106,116,14,34,14,1117,False
744,2024,San Francisco Giants,58,28.6,4.28,162,6062,5460,693,1303,266,30,177,661,68,22,492,1452,.239,.305,.396,.701,101,2160,115,52,10,47,15,1075,False
745,2024,St. Louis Cardinals,44,27.6,4.15,162,6114,5507,672,1363,257,21,165,639,91,29,478,1318,.248,.312,.392,.703,96,2157,91,56,17,47,10,1149,False
746,2024,Tampa Bay Rays,54,27.2,3.73,162,6006,5389,604,1241,245,23,147,564,178,53,493,1485,.230,.302,.366,.669,92,1973,87,78,10,32,15,1099,False
747,2024,Texas Rangers,57,28.1,4.22,162,6053,5472,683,1302,220,15,176,652,97,25,490,1284,.238,.305,.380,.686,96,2080,96,55,6,30,20,1084,False
748,2024,Toronto Blue Jays,56,28.1,4.14,162,6060,5410,671,1306,280,26,156,640,72,16,510,1233,.241,.313,.389,.703,100,2106,126,78,14,45,18,1106,False
749,2024,Washington Nationals,50,26.3,4.07,162,5971,5374,660,1306,267,18,135,621,223,73,456,1220,.243,.309,.375,.684,94,2014,115,73,26,40,11,1010,False
